sentence_id,template_id,template_type,entity,tier,sentence,multi_token_flag
T01_LOBSTER,T01,pain_suffering,lobster,T4,The lobster was in pain.,False
T01_SQUID,T01,pain_suffering,squid,T4,The squid was in pain.,False
T01_CRAYFISH,T01,pain_suffering,crayfish,T4,The crayfish was in pain.,False
T01_BUMBLEBEE,T01,pain_suffering,bumblebee,T4,The bumblebee was in pain.,False
T01_MUSSEL,T01,pain_suffering,mussel,T4,The mussel was in pain.,False
T01_MANTIS_SHRIMP,T01,pain_suffering,mantis shrimp,T4,The mantis shrimp was in pain.,True
T01_ANT,T01,pain_suffering,ant,T5,The ant was in pain.,False
T01_FLY,T01,pain_suffering,fly,T5,The fly was in pain.,False
T01_EARTHWORM,T01,pain_suffering,earthworm,T5,The earthworm was in pain.,False
T01_MOTH,T01,pain_suffering,moth,T5,The moth was in pain.,False
T01_BEETLE,T01,pain_suffering,beetle,T5,The beetle was in pain.,False
T01_APHID,T01,pain_suffering,aphid,T5,The aphid was in pain.,False
T01_NEMATODE,T01,pain_suffering,nematode,T5,The nematode was in pain.,False
T01_COCKROACH,T01,pain_suffering,cockroach,T5,The cockroach was in pain.,False
T01_MITE,T01,pain_suffering,mite,T5,The mite was in pain.,False
T01_WOODLOUSE,T01,pain_suffering,woodlouse,T5,The woodlouse was in pain.,False
T01_OAK_TREE,T01,pain_suffering,oak tree,T6,The oak tree was in pain.,True
T01_MUSHROOM,T01,pain_suffering,mushroom,T6,The mushroom was in pain.,False
T01_BACTERIUM,T01,pain_suffering,bacterium,T6,The bacterium was in pain.,False
T01_MOSS,T01,pain_suffering,moss,T6,The moss was in pain.,False
T01_SEAWEED,T01,pain_suffering,seaweed,T6,The seaweed was in pain.,False
T01_ROCK,T01,pain_suffering,rock,T6,The rock was in pain.,False
T01_TABLE,T01,pain_suffering,table,T6,The table was in pain.,False
T01_CLOUD,T01,pain_suffering,cloud,T6,The cloud was in pain.,False
T01_RIVER,T01,pain_suffering,river,T6,The river was in pain.,False
T01_STATUE,T01,pain_suffering,statue,T6,The statue was in pain.,False
T02_CHILD,T02,pain_suffering,child,T1,Everyone could see that the child was suffering.,False
T02_INFANT,T02,pain_suffering,infant,T1,Everyone could see that the infant was suffering.,False
T02_ELDERLY_PERSON,T02,pain_suffering,elderly person,T1,Everyone could see that the elderly person was suffering.,True
T02_WORKER,T02,pain_suffering,worker,T1,Everyone could see that the worker was suffering.,False
T02_PATIENT,T02,pain_suffering,patient,T1,Everyone could see that the patient was suffering.,False
T02_PRISONER,T02,pain_suffering,prisoner,T1,Everyone could see that the prisoner was suffering.,False
T02_REFUGEE,T02,pain_suffering,refugee,T1,Everyone could see that the refugee was suffering.,False
T02_SOLDIER,T02,pain_suffering,soldier,T1,Everyone could see that the soldier was suffering.,False
T02_TEENAGER,T02,pain_suffering,teenager,T1,Everyone could see that the teenager was suffering.,False
T02_WOMAN,T02,pain_suffering,woman,T1,Everyone could see that the woman was suffering.,False
T02_DOG,T02,pain_suffering,dog,T2,Everyone could see that the dog was suffering.,False
T02_CHIMPANZEE,T02,pain_suffering,chimpanzee,T2,Everyone could see that the chimpanzee was suffering.,False
T02_PIG,T02,pain_suffering,pig,T2,Everyone could see that the pig was suffering.,False
T02_COW,T02,pain_suffering,cow,T2,Everyone could see that the cow was suffering.,False
T02_DOLPHIN,T02,pain_suffering,dolphin,T2,Everyone could see that the dolphin was suffering.,False
T02_ELEPHANT,T02,pain_suffering,elephant,T2,Everyone could see that the elephant was suffering.,False
T02_RABBIT,T02,pain_suffering,rabbit,T2,Everyone could see that the rabbit was suffering.,False
T02_RAT,T02,pain_suffering,rat,T2,Everyone could see that the rat was suffering.,False
T02_HORSE,T02,pain_suffering,horse,T2,Everyone could see that the horse was suffering.,False
T02_WHALE,T02,pain_suffering,whale,T2,Everyone could see that the whale was suffering.,False
T02_SALMON,T02,pain_suffering,salmon,T3,Everyone could see that the salmon was suffering.,False
T02_CHICKEN,T02,pain_suffering,chicken,T3,Everyone could see that the chicken was suffering.,False
T02_FROG,T02,pain_suffering,frog,T3,Everyone could see that the frog was suffering.,False
T02_ZEBRAFISH,T02,pain_suffering,zebrafish,T3,Everyone could see that the zebrafish was suffering.,False
T02_CROW,T02,pain_suffering,crow,T3,Everyone could see that the crow was suffering.,False
T02_SNAKE,T02,pain_suffering,snake,T3,Everyone could see that the snake was suffering.,False
T02_TUNA,T02,pain_suffering,tuna,T3,Everyone could see that the tuna was suffering.,False
T02_GECKO,T02,pain_suffering,gecko,T3,Everyone could see that the gecko was suffering.,False
T02_TROUT,T02,pain_suffering,trout,T3,Everyone could see that the trout was suffering.,False
T02_PIGEON,T02,pain_suffering,pigeon,T3,Everyone could see that the pigeon was suffering.,False
T02_OCTOPUS,T02,pain_suffering,octopus,T4,Everyone could see that the octopus was suffering.,False
T02_CRAB,T02,pain_suffering,crab,T4,Everyone could see that the crab was suffering.,False
T02_BEE,T02,pain_suffering,bee,T4,Everyone could see that the bee was suffering.,False
T02_SHRIMP,T02,pain_suffering,shrimp,T4,Everyone could see that the shrimp was suffering.,False
T02_LOBSTER,T02,pain_suffering,lobster,T4,Everyone could see that the lobster was suffering.,False
T02_SQUID,T02,pain_suffering,squid,T4,Everyone could see that the squid was suffering.,False
T02_CRAYFISH,T02,pain_suffering,crayfish,T4,Everyone could see that the crayfish was suffering.,False
T02_BUMBLEBEE,T02,pain_suffering,bumblebee,T4,Everyone could see that the bumblebee was suffering.,False
T02_MUSSEL,T02,pain_suffering,mussel,T4,Everyone could see that the mussel was suffering.,False
T02_MANTIS_SHRIMP,T02,pain_suffering,mantis shrimp,T4,Everyone could see that the mantis shrimp was suffering.,True
T02_ANT,T02,pain_suffering,ant,T5,Everyone could see that the ant was suffering.,False
T02_FLY,T02,pain_suffering,fly,T5,Everyone could see that the fly was suffering.,False
T02_EARTHWORM,T02,pain_suffering,earthworm,T5,Everyone could see that the earthworm was suffering.,False
T02_MOTH,T02,pain_suffering,moth,T5,Everyone could see that the moth was suffering.,False
T02_BEETLE,T02,pain_suffering,beetle,T5,Everyone could see that the beetle was suffering.,False
T02_APHID,T02,pain_suffering,aphid,T5,Everyone could see that the aphid was suffering.,False
T02_NEMATODE,T02,pain_suffering,nematode,T5,Everyone could see that the nematode was suffering.,False
T02_COCKROACH,T02,pain_suffering,cockroach,T5,Everyone could see that the cockroach was suffering.,False
T02_MITE,T02,pain_suffering,mite,T5,Everyone could see that the mite was suffering.,False
T02_WOODLOUSE,T02,pain_suffering,woodlouse,T5,Everyone could see that the woodlouse was suffering.,False
T02_OAK_TREE,T02,pain_suffering,oak tree,T6,Everyone could see that the oak tree was suffering.,True
T02_MUSHROOM,T02,pain_suffering,mushroom,T6,Everyone could see that the mushroom was suffering.,False
T02_BACTERIUM,T02,pain_suffering,bacterium,T6,Everyone could see that the bacterium was suffering.,False
T02_MOSS,T02,pain_suffering,moss,T6,Everyone could see that the moss was suffering.,False
T02_SEAWEED,T02,pain_suffering,seaweed,T6,Everyone could see that the seaweed was suffering.,False
T02_ROCK,T02,pain_suffering,rock,T6,Everyone could see that the rock was suffering.,False
T02_TABLE,T02,pain_suffering,table,T6,Everyone could see that the table was suffering.,False
T02_CLOUD,T02,pain_suffering,cloud,T6,Everyone could see that the cloud was suffering.,False
T02_RIVER,T02,pain_suffering,river,T6,Everyone could see that the river was suffering.,False
T02_STATUE,T02,pain_suffering,statue,T6,Everyone could see that the statue was suffering.,False
T03_CHILD,T03,pain_suffering,child,T1,The child experienced significant physical distress during the procedure.,False
T03_INFANT,T03,pain_suffering,infant,T1,The infant experienced significant physical distress during the procedure.,False
T03_ELDERLY_PERSON,T03,pain_suffering,elderly person,T1,The elderly person experienced significant physical distress during the procedure.,True
T03_WORKER,T03,pain_suffering,worker,T1,The worker experienced significant physical distress during the procedure.,False
T03_PATIENT,T03,pain_suffering,patient,T1,The patient experienced significant physical distress during the procedure.,False
T03_PRISONER,T03,pain_suffering,prisoner,T1,The prisoner experienced significant physical distress during the procedure.,False
T03_REFUGEE,T03,pain_suffering,refugee,T1,The refugee experienced significant physical distress during the procedure.,False
T03_SOLDIER,T03,pain_suffering,soldier,T1,The soldier experienced significant physical distress during the procedure.,False
T03_TEENAGER,T03,pain_suffering,teenager,T1,The teenager experienced significant physical distress during the procedure.,False
T03_WOMAN,T03,pain_suffering,woman,T1,The woman experienced significant physical distress during the procedure.,False
T03_DOG,T03,pain_suffering,dog,T2,The dog experienced significant physical distress during the procedure.,False
T03_CHIMPANZEE,T03,pain_suffering,chimpanzee,T2,The chimpanzee experienced significant physical distress during the procedure.,False
T03_PIG,T03,pain_suffering,pig,T2,The pig experienced significant physical distress during the procedure.,False
T03_COW,T03,pain_suffering,cow,T2,The cow experienced significant physical distress during the procedure.,False
T03_DOLPHIN,T03,pain_suffering,dolphin,T2,The dolphin experienced significant physical distress during the procedure.,False
T03_ELEPHANT,T03,pain_suffering,elephant,T2,The elephant experienced significant physical distress during the procedure.,False
T03_RABBIT,T03,pain_suffering,rabbit,T2,The rabbit experienced significant physical distress during the procedure.,False
T03_RAT,T03,pain_suffering,rat,T2,The rat experienced significant physical distress during the procedure.,False
T03_HORSE,T03,pain_suffering,horse,T2,The horse experienced significant physical distress during the procedure.,False
T03_WHALE,T03,pain_suffering,whale,T2,The whale experienced significant physical distress during the procedure.,False
T03_SALMON,T03,pain_suffering,salmon,T3,The salmon experienced significant physical distress during the procedure.,False
T03_CHICKEN,T03,pain_suffering,chicken,T3,The chicken experienced significant physical distress during the procedure.,False
T03_FROG,T03,pain_suffering,frog,T3,The frog experienced significant physical distress during the procedure.,False
T03_ZEBRAFISH,T03,pain_suffering,zebrafish,T3,The zebrafish experienced significant physical distress during the procedure.,False
T03_CROW,T03,pain_suffering,crow,T3,The crow experienced significant physical distress during the procedure.,False
T03_SNAKE,T03,pain_suffering,snake,T3,The snake experienced significant physical distress during the procedure.,False
T03_TUNA,T03,pain_suffering,tuna,T3,The tuna experienced significant physical distress during the procedure.,False
T03_GECKO,T03,pain_suffering,gecko,T3,The gecko experienced significant physical distress during the procedure.,False
T03_TROUT,T03,pain_suffering,trout,T3,The trout experienced significant physical distress during the procedure.,False
T03_PIGEON,T03,pain_suffering,pigeon,T3,The pigeon experienced significant physical distress during the procedure.,False
T03_OCTOPUS,T03,pain_suffering,octopus,T4,The octopus experienced significant physical distress during the procedure.,False
T03_CRAB,T03,pain_suffering,crab,T4,The crab experienced significant physical distress during the procedure.,False
T03_BEE,T03,pain_suffering,bee,T4,The bee experienced significant physical distress during the procedure.,False
T03_SHRIMP,T03,pain_suffering,shrimp,T4,The shrimp experienced significant physical distress during the procedure.,False
T03_LOBSTER,T03,pain_suffering,lobster,T4,The lobster experienced significant physical distress during the procedure.,False
T03_SQUID,T03,pain_suffering,squid,T4,The squid experienced significant physical distress during the procedure.,False
T03_CRAYFISH,T03,pain_suffering,crayfish,T4,The crayfish experienced significant physical distress during the procedure.,False
T03_BUMBLEBEE,T03,pain_suffering,bumblebee,T4,The bumblebee experienced significant physical distress during the procedure.,False
T03_MUSSEL,T03,pain_suffering,mussel,T4,The mussel experienced significant physical distress during the procedure.,False
T03_MANTIS_SHRIMP,T03,pain_suffering,mantis shrimp,T4,The mantis shrimp experienced significant physical distress during the procedure.,True
T03_ANT,T03,pain_suffering,ant,T5,The ant experienced significant physical distress during the procedure.,False
T03_FLY,T03,pain_suffering,fly,T5,The fly experienced significant physical distress during the procedure.,False
T03_EARTHWORM,T03,pain_suffering,earthworm,T5,The earthworm experienced significant physical distress during the procedure.,False
T03_MOTH,T03,pain_suffering,moth,T5,The moth experienced significant physical distress during the procedure.,False
T03_BEETLE,T03,pain_suffering,beetle,T5,The beetle experienced significant physical distress during the procedure.,False
T03_APHID,T03,pain_suffering,aphid,T5,The aphid experienced significant physical distress during the procedure.,False
T03_NEMATODE,T03,pain_suffering,nematode,T5,The nematode experienced significant physical distress during the procedure.,False
T03_COCKROACH,T03,pain_suffering,cockroach,T5,The cockroach experienced significant physical distress during the procedure.,False
T03_MITE,T03,pain_suffering,mite,T5,The mite experienced significant physical distress during the procedure.,False
T03_WOODLOUSE,T03,pain_suffering,woodlouse,T5,The woodlouse experienced significant physical distress during the procedure.,False
T03_OAK_TREE,T03,pain_suffering,oak tree,T6,The oak tree experienced significant physical distress during the procedure.,True
T03_MUSHROOM,T03,pain_suffering,mushroom,T6,The mushroom experienced significant physical distress during the procedure.,False
T03_BACTERIUM,T03,pain_suffering,bacterium,T6,The bacterium experienced significant physical distress during the procedure.,False
T03_MOSS,T03,pain_suffering,moss,T6,The moss experienced significant physical distress during the procedure.,False
T03_SEAWEED,T03,pain_suffering,seaweed,T6,The seaweed experienced significant physical distress during the procedure.,False
T03_ROCK,T03,pain_suffering,rock,T6,The rock experienced significant physical distress during the procedure.,False
T03_TABLE,T03,pain_suffering,table,T6,The table experienced significant physical distress during the procedure.,False
T03_CLOUD,T03,pain_suffering,cloud,T6,The cloud experienced significant physical distress during the procedure.,False
T03_RIVER,T03,pain_suffering,river,T6,The river experienced significant physical distress during the procedure.,False
T03_STATUE,T03,pain_suffering,statue,T6,The statue experienced significant physical distress during the procedure.,False
T04_CHILD,T04,pain_suffering,child,T1,"After the injury, the child showed clear signs of pain.",False
T04_INFANT,T04,pain_suffering,infant,T1,"After the injury, the infant showed clear signs of pain.",False
T04_ELDERLY_PERSON,T04,pain_suffering,elderly person,T1,"After the injury, the elderly person showed clear signs of pain.",True
T04_WORKER,T04,pain_suffering,worker,T1,"After the injury, the worker showed clear signs of pain.",False
T04_PATIENT,T04,pain_suffering,patient,T1,"After the injury, the patient showed clear signs of pain.",False
T04_PRISONER,T04,pain_suffering,prisoner,T1,"After the injury, the prisoner showed clear signs of pain.",False
T04_REFUGEE,T04,pain_suffering,refugee,T1,"After the injury, the refugee showed clear signs of pain.",False
T04_SOLDIER,T04,pain_suffering,soldier,T1,"After the injury, the soldier showed clear signs of pain.",False
T04_TEENAGER,T04,pain_suffering,teenager,T1,"After the injury, the teenager showed clear signs of pain.",False
T04_WOMAN,T04,pain_suffering,woman,T1,"After the injury, the woman showed clear signs of pain.",False
T04_DOG,T04,pain_suffering,dog,T2,"After the injury, the dog showed clear signs of pain.",False
T04_CHIMPANZEE,T04,pain_suffering,chimpanzee,T2,"After the injury, the chimpanzee showed clear signs of pain.",False
T04_PIG,T04,pain_suffering,pig,T2,"After the injury, the pig showed clear signs of pain.",False
T04_COW,T04,pain_suffering,cow,T2,"After the injury, the cow showed clear signs of pain.",False
T04_DOLPHIN,T04,pain_suffering,dolphin,T2,"After the injury, the dolphin showed clear signs of pain.",False
T04_ELEPHANT,T04,pain_suffering,elephant,T2,"After the injury, the elephant showed clear signs of pain.",False
T04_RABBIT,T04,pain_suffering,rabbit,T2,"After the injury, the rabbit showed clear signs of pain.",False
T04_RAT,T04,pain_suffering,rat,T2,"After the injury, the rat showed clear signs of pain.",False
T04_HORSE,T04,pain_suffering,horse,T2,"After the injury, the horse showed clear signs of pain.",False
T04_WHALE,T04,pain_suffering,whale,T2,"After the injury, the whale showed clear signs of pain.",False
T04_SALMON,T04,pain_suffering,salmon,T3,"After the injury, the salmon showed clear signs of pain.",False
T04_CHICKEN,T04,pain_suffering,chicken,T3,"After the injury, the chicken showed clear signs of pain.",False
T04_FROG,T04,pain_suffering,frog,T3,"After the injury, the frog showed clear signs of pain.",False
T04_ZEBRAFISH,T04,pain_suffering,zebrafish,T3,"After the injury, the zebrafish showed clear signs of pain.",False
T04_CROW,T04,pain_suffering,crow,T3,"After the injury, the crow showed clear signs of pain.",False
T04_SNAKE,T04,pain_suffering,snake,T3,"After the injury, the snake showed clear signs of pain.",False
T04_TUNA,T04,pain_suffering,tuna,T3,"After the injury, the tuna showed clear signs of pain.",False
T04_GECKO,T04,pain_suffering,gecko,T3,"After the injury, the gecko showed clear signs of pain.",False
T04_TROUT,T04,pain_suffering,trout,T3,"After the injury, the trout showed clear signs of pain.",False
T04_PIGEON,T04,pain_suffering,pigeon,T3,"After the injury, the pigeon showed clear signs of pain.",False
T04_OCTOPUS,T04,pain_suffering,octopus,T4,"After the injury, the octopus showed clear signs of pain.",False
T04_CRAB,T04,pain_suffering,crab,T4,"After the injury, the crab showed clear signs of pain.",False
T04_BEE,T04,pain_suffering,bee,T4,"After the injury, the bee showed clear signs of pain.",False
T04_SHRIMP,T04,pain_suffering,shrimp,T4,"After the injury, the shrimp showed clear signs of pain.",False
T04_LOBSTER,T04,pain_suffering,lobster,T4,"After the injury, the lobster showed clear signs of pain.",False
T04_SQUID,T04,pain_suffering,squid,T4,"After the injury, the squid showed clear signs of pain.",False
T04_CRAYFISH,T04,pain_suffering,crayfish,T4,"After the injury, the crayfish showed clear signs of pain.",False
T04_BUMBLEBEE,T04,pain_suffering,bumblebee,T4,"After the injury, the bumblebee showed clear signs of pain.",False
T04_MUSSEL,T04,pain_suffering,mussel,T4,"After the injury, the mussel showed clear signs of pain.",False
T04_MANTIS_SHRIMP,T04,pain_suffering,mantis shrimp,T4,"After the injury, the mantis shrimp showed clear signs of pain.",True
T04_ANT,T04,pain_suffering,ant,T5,"After the injury, the ant showed clear signs of pain.",False
T04_FLY,T04,pain_suffering,fly,T5,"After the injury, the fly showed clear signs of pain.",False
T04_EARTHWORM,T04,pain_suffering,earthworm,T5,"After the injury, the earthworm showed clear signs of pain.",False
T04_MOTH,T04,pain_suffering,moth,T5,"After the injury, the moth showed clear signs of pain.",False
T04_BEETLE,T04,pain_suffering,beetle,T5,"After the injury, the beetle showed clear signs of pain.",False
T04_APHID,T04,pain_suffering,aphid,T5,"After the injury, the aphid showed clear signs of pain.",False
T04_NEMATODE,T04,pain_suffering,nematode,T5,"After the injury, the nematode showed clear signs of pain.",False
T04_COCKROACH,T04,pain_suffering,cockroach,T5,"After the injury, the cockroach showed clear signs of pain.",False
T04_MITE,T04,pain_suffering,mite,T5,"After the injury, the mite showed clear signs of pain.",False
T04_WOODLOUSE,T04,pain_suffering,woodlouse,T5,"After the injury, the woodlouse showed clear signs of pain.",False
T04_OAK_TREE,T04,pain_suffering,oak tree,T6,"After the injury, the oak tree showed clear signs of pain.",True
T04_MUSHROOM,T04,pain_suffering,mushroom,T6,"After the injury, the mushroom showed clear signs of pain.",False
T04_BACTERIUM,T04,pain_suffering,bacterium,T6,"After the injury, the bacterium showed clear signs of pain.",False
T04_MOSS,T04,pain_suffering,moss,T6,"After the injury, the moss showed clear signs of pain.",False
T04_SEAWEED,T04,pain_suffering,seaweed,T6,"After the injury, the seaweed showed clear signs of pain.",False
T04_ROCK,T04,pain_suffering,rock,T6,"After the injury, the rock showed clear signs of pain.",False
T04_TABLE,T04,pain_suffering,table,T6,"After the injury, the table showed clear signs of pain.",False
T04_CLOUD,T04,pain_suffering,cloud,T6,"After the injury, the cloud showed clear signs of pain.",False
T04_RIVER,T04,pain_suffering,river,T6,"After the injury, the river showed clear signs of pain.",False
T04_STATUE,T04,pain_suffering,statue,T6,"After the injury, the statue showed clear signs of pain.",False
T05_CHILD,T05,fear,child,T1,The child felt fear as the predator approached.,False
T05_INFANT,T05,fear,infant,T1,The infant felt fear as the predator approached.,False
T05_ELDERLY_PERSON,T05,fear,elderly person,T1,The elderly person felt fear as the predator approached.,True
T05_WORKER,T05,fear,worker,T1,The worker felt fear as the predator approached.,False
T05_PATIENT,T05,fear,patient,T1,The patient felt fear as the predator approached.,False
T05_PRISONER,T05,fear,prisoner,T1,The prisoner felt fear as the predator approached.,False
T05_REFUGEE,T05,fear,refugee,T1,The refugee felt fear as the predator approached.,False
T05_SOLDIER,T05,fear,soldier,T1,The soldier felt fear as the predator approached.,False
T05_TEENAGER,T05,fear,teenager,T1,The teenager felt fear as the predator approached.,False
T05_WOMAN,T05,fear,woman,T1,The woman felt fear as the predator approached.,False
T05_DOG,T05,fear,dog,T2,The dog felt fear as the predator approached.,False
T05_CHIMPANZEE,T05,fear,chimpanzee,T2,The chimpanzee felt fear as the predator approached.,False
T05_PIG,T05,fear,pig,T2,The pig felt fear as the predator approached.,False
T05_COW,T05,fear,cow,T2,The cow felt fear as the predator approached.,False
T05_DOLPHIN,T05,fear,dolphin,T2,The dolphin felt fear as the predator approached.,False
T05_ELEPHANT,T05,fear,elephant,T2,The elephant felt fear as the predator approached.,False
T05_RABBIT,T05,fear,rabbit,T2,The rabbit felt fear as the predator approached.,False
T05_RAT,T05,fear,rat,T2,The rat felt fear as the predator approached.,False
T05_HORSE,T05,fear,horse,T2,The horse felt fear as the predator approached.,False
T05_WHALE,T05,fear,whale,T2,The whale felt fear as the predator approached.,False
T05_SALMON,T05,fear,salmon,T3,The salmon felt fear as the predator approached.,False
T05_CHICKEN,T05,fear,chicken,T3,The chicken felt fear as the predator approached.,False
T05_FROG,T05,fear,frog,T3,The frog felt fear as the predator approached.,False
T05_ZEBRAFISH,T05,fear,zebrafish,T3,The zebrafish felt fear as the predator approached.,False
T05_CROW,T05,fear,crow,T3,The crow felt fear as the predator approached.,False
T05_SNAKE,T05,fear,snake,T3,The snake felt fear as the predator approached.,False
T05_TUNA,T05,fear,tuna,T3,The tuna felt fear as the predator approached.,False
T05_GECKO,T05,fear,gecko,T3,The gecko felt fear as the predator approached.,False
T05_TROUT,T05,fear,trout,T3,The trout felt fear as the predator approached.,False
T05_PIGEON,T05,fear,pigeon,T3,The pigeon felt fear as the predator approached.,False
T05_OCTOPUS,T05,fear,octopus,T4,The octopus felt fear as the predator approached.,False
T05_CRAB,T05,fear,crab,T4,The crab felt fear as the predator approached.,False
T05_BEE,T05,fear,bee,T4,The bee felt fear as the predator approached.,False
T05_SHRIMP,T05,fear,shrimp,T4,The shrimp felt fear as the predator approached.,False
T05_LOBSTER,T05,fear,lobster,T4,The lobster felt fear as the predator approached.,False
T05_SQUID,T05,fear,squid,T4,The squid felt fear as the predator approached.,False
T05_CRAYFISH,T05,fear,crayfish,T4,The crayfish felt fear as the predator approached.,False
T05_BUMBLEBEE,T05,fear,bumblebee,T4,The bumblebee felt fear as the predator approached.,False
T05_MUSSEL,T05,fear,mussel,T4,The mussel felt fear as the predator approached.,False
T05_MANTIS_SHRIMP,T05,fear,mantis shrimp,T4,The mantis shrimp felt fear as the predator approached.,True
T05_ANT,T05,fear,ant,T5,The ant felt fear as the predator approached.,False
T05_FLY,T05,fear,fly,T5,The fly felt fear as the predator approached.,False
T05_EARTHWORM,T05,fear,earthworm,T5,The earthworm felt fear as the predator approached.,False
T05_MOTH,T05,fear,moth,T5,The moth felt fear as the predator approached.,False
T05_BEETLE,T05,fear,beetle,T5,The beetle felt fear as the predator approached.,False
T05_APHID,T05,fear,aphid,T5,The aphid felt fear as the predator approached.,False
T05_NEMATODE,T05,fear,nematode,T5,The nematode felt fear as the predator approached.,False
T05_COCKROACH,T05,fear,cockroach,T5,The cockroach felt fear as the predator approached.,False
T05_MITE,T05,fear,mite,T5,The mite felt fear as the predator approached.,False
T05_WOODLOUSE,T05,fear,woodlouse,T5,The woodlouse felt fear as the predator approached.,False
T05_OAK_TREE,T05,fear,oak tree,T6,The oak tree felt fear as the predator approached.,True
T05_MUSHROOM,T05,fear,mushroom,T6,The mushroom felt fear as the predator approached.,False
T05_BACTERIUM,T05,fear,bacterium,T6,The bacterium felt fear as the predator approached.,False
T05_MOSS,T05,fear,moss,T6,The moss felt fear as the predator approached.,False
T05_SEAWEED,T05,fear,seaweed,T6,The seaweed felt fear as the predator approached.,False
T05_ROCK,T05,fear,rock,T6,The rock felt fear as the predator approached.,False
T05_TABLE,T05,fear,table,T6,The table felt fear as the predator approached.,False
T05_CLOUD,T05,fear,cloud,T6,The cloud felt fear as the predator approached.,False
T05_RIVER,T05,fear,river,T6,The river felt fear as the predator approached.,False
T05_STATUE,T05,fear,statue,T6,The statue felt fear as the predator approached.,False
T06_CHILD,T06,fear,child,T1,The child was visibly terrified by what was happening.,False
T06_INFANT,T06,fear,infant,T1,The infant was visibly terrified by what was happening.,False
T06_ELDERLY_PERSON,T06,fear,elderly person,T1,The elderly person was visibly terrified by what was happening.,True
T06_WORKER,T06,fear,worker,T1,The worker was visibly terrified by what was happening.,False
T06_PATIENT,T06,fear,patient,T1,The patient was visibly terrified by what was happening.,False
T06_PRISONER,T06,fear,prisoner,T1,The prisoner was visibly terrified by what was happening.,False
T06_REFUGEE,T06,fear,refugee,T1,The refugee was visibly terrified by what was happening.,False
T06_SOLDIER,T06,fear,soldier,T1,The soldier was visibly terrified by what was happening.,False
T06_TEENAGER,T06,fear,teenager,T1,The teenager was visibly terrified by what was happening.,False
T06_WOMAN,T06,fear,woman,T1,The woman was visibly terrified by what was happening.,False
T06_DOG,T06,fear,dog,T2,The dog was visibly terrified by what was happening.,False
T06_CHIMPANZEE,T06,fear,chimpanzee,T2,The chimpanzee was visibly terrified by what was happening.,False
T06_PIG,T06,fear,pig,T2,The pig was visibly terrified by what was happening.,False
T06_COW,T06,fear,cow,T2,The cow was visibly terrified by what was happening.,False
T06_DOLPHIN,T06,fear,dolphin,T2,The dolphin was visibly terrified by what was happening.,False
T06_ELEPHANT,T06,fear,elephant,T2,The elephant was visibly terrified by what was happening.,False
